Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
SCANDINAVIAN JOURNAL OF FOREST RESEARCH,SCAND J FOREST RES,NORWAY,X,,,
SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,SCAND J GASTROENTERO,NORWAY,X,,,
SCANDINAVIAN JOURNAL OF HISTORY,SCAND J HIST,NORWAY,,,X,
SCANDINAVIAN JOURNAL OF HOSPITALITY AND TOURISM,SCAND J HOSP TOUR,NORWAY,,X,,
SCANDINAVIAN JOURNAL OF IMMUNOLOGY,SCAND J IMMUNOL,ENGLAND,X,,,
SCANDINAVIAN JOURNAL OF LABORATORY ANIMAL SCIENCE,SCAND J LAB ANIM SCI,DENMARK,X,,,
SCANDINAVIAN JOURNAL OF MANAGEMENT,SCAND J MANAG,ENGLAND,,X,,
SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,SCAND J MED SCI SPOR,DENMARK,X,,,
SCANDINAVIAN JOURNAL OF OCCUPATIONAL THERAPY,SCAND J OCCUP THER,ENGLAND,X,X,,
SCANDINAVIAN JOURNAL OF PAIN,SCAND J PAIN,GERMANY,,,,X
SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,SCAND J PRIM HEALTH,NORWAY,X,,,
SCANDINAVIAN JOURNAL OF PSYCHOLOGY,SCAND J PSYCHOL,ENGLAND,,X,,
SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,SCAND J PUBLIC HEALT,NORWAY,X,X,,
SCANDINAVIAN JOURNAL OF RHEUMATOLOGY,SCAND J RHEUMATOL,NORWAY,X,,,
SCANDINAVIAN JOURNAL OF STATISTICS,SCAND J STAT,ENGLAND,X,,,
SCANDINAVIAN JOURNAL OF SURGERY,SCAND J SURG,FINLAND,X,,,
SCANDINAVIAN JOURNAL OF THE OLD TESTAMENT,SCAND J OLD TESTAM,NORWAY,,,X,
SCANDINAVIAN JOURNAL OF TRAUMA RESUSCITATION & EMERGENCY MEDICINE,SCAND J TRAUMA RESUS,ENGLAND,X,,,
SCANDINAVIAN JOURNAL OF UROLOGY,SCAND J UROL,SWEDEN,X,,,
SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,SCAND J WORK ENV HEA,FINLAND,X,X,,
SCANDINAVIAN POLITICAL STUDIES,SCAND POLIT STUD,ENGLAND,,X,,
SCANDINAVIAN STUDIES,SCAND STUD,UNITED STATES,,,X,
SCANDINAVICA,SCANDINAVICA,ENGLAND,,,X,
SCANDO-SLAVICA,SCANDO-SLAVICA,ENGLAND,,,,X
SCANNING,SCANNING,UNITED STATES,X,,,
SCHIZOPHRENIA BULLETIN,SCHIZOPHRENIA BULL,UNITED STATES,X,X,,
SCHIZOPHRENIA RESEARCH,SCHIZOPHR RES,NETHERLANDS,X,X,,
SCHIZOPHRENIA RESEARCH AND TREATMENT,SCHIZOPHR RES TREAT,UNITED STATES,,,,X
SCHMALENBACH BUSINESS REVIEW,SCHMALENBACH BUS REV,GERMANY,,,,X
SCHMERZ,SCHMERZ,GERMANY,X,,,
SCHOLE-FILOSOFSKOE ANTIKOVEDENIE I KLASSICHESKAYA TRADITSIYA-SCHOLE-ANCIENT PHILOSOPHY AND THE CLASSICAL TRADITION,SCHOLE-RUSS,RUSSIA,,,,X
SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT,SCH EFF SCH IMPROV,NETHERLANDS,,X,,
SCHOOL LEADERSHIP & MANAGEMENT,SCH LEADERSH MANAG,ENGLAND,,,,X
SCHOOL MENTAL HEALTH,SCH MENT HEALTH,UNITED STATES,,X,,
SCHOOL PSYCHOLOGY,SCHULE PSYCHOL,UNITED STATES,,X,,
SCHOOL PSYCHOLOGY INTERNATIONAL,SCHOOL PSYCHOL INT,ENGLAND,,X,,
SCHOOL PSYCHOLOGY QUARTERLY,SCHOOL PSYCHOL QUART,UNITED STATES,,X,,
SCHOOL PSYCHOLOGY REVIEW,SCHOOL PSYCHOL REV,UNITED STATES,,X,,
SCHOOL SCIENCE AND MATHEMATICS,SCHOOL SCI MATH,UNITED STATES,,,,X
SCHOOLS-STUDIES IN EDUCATION,SCHOOLS,UNITED STATES,,,,X
SCHWEIZER ARCHIV FUR TIERHEILKUNDE,SCHWEIZ ARCH TIERH,SWITZERLAND,X,,,
SCHWEIZERISCHES ARCHIV FUR VOLKSKUNDE,SCHWEIZ ARCH VOLKSKU,SWITZERLAND,,,X,
SCIENCE,SCIENCE,UNITED STATES,X,,,
SCIENCE & EDUCATION,SCI EDUC-NETHERLANDS,NETHERLANDS,X,X,X,
SCIENCE & GLOBAL SECURITY,SCI GLOB SECUR,UNITED STATES,,,,X
SCIENCE & JUSTICE,SCI JUSTICE,ENGLAND,X,,,
SCIENCE & SOCIETY,SCI SOC,UNITED STATES,,X,,
SCIENCE & SPORTS,SCI SPORT,FRANCE,X,,,
SCIENCE & TECHNIQUE,SCI TECH-BEL,BYELARUS,,,,X
SCIENCE ACTIVITIES-PROJECTS AND CURRICULUM IDEAS IN STEM CLASSROOMS,SCI ACT,UNITED STATES,,,,X
SCIENCE ADVANCES,SCI ADV,UNITED STATES,X,,,
SCIENCE AND ENGINEERING ETHICS,SCI ENG ETHICS,NETHERLANDS,X,X,,
SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS,SCI ENG COMPOS MATER,ENGLAND,X,,,
SCIENCE AND INNOVATION,SCI INNOV,UKRAINE,,,,X
SCIENCE AND MEDICINE IN FOOTBALL,SCI MED FOOTBALL,ENGLAND,X,,,
SCIENCE AND PUBLIC POLICY,SCI PUBL POLICY,ENGLAND,,X,,
SCIENCE AND TECHNOLOGY FOR THE BUILT ENVIRONMENT,SCI TECHNOL BUILT EN,UNITED STATES,X,,,
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,SCI TECHNOL ADV MAT,JAPAN,X,,,
SCIENCE AND TECHNOLOGY OF ARCHAEOLOGICAL RESEARCH,SCI TECHNOL ARCHAEOL,ENGLAND,,,,X
SCIENCE AND TECHNOLOGY OF ENERGETIC MATERIALS,SCI TECHNOL ENERG MA,JAPAN,X,,,
SCIENCE AND TECHNOLOGY OF NUCLEAR INSTALLATIONS,SCI TECHNOL NUCL INS,UNITED STATES,X,,,
SCIENCE AND TECHNOLOGY OF WELDING AND JOINING,SCI TECHNOL WELD JOI,ENGLAND,X,,,
SCIENCE AND TECHNOLOGY STUDIES,SCI TECHNOL STUD,FINLAND,,X,,
SCIENCE AS CULTURE,SCI CULT-UK,ENGLAND,,X,X,
SCIENCE BULLETIN,SCI BULL,PEOPLES R CHINA,X,,,
SCIENCE CHINA-CHEMISTRY,SCI CHINA CHEM,PEOPLES R CHINA,X,,,
SCIENCE CHINA-EARTH SCIENCES,SCI CHINA EARTH SCI,PEOPLES R CHINA,X,,,
SCIENCE CHINA-INFORMATION SCIENCES,SCI CHINA INFORM SCI,PEOPLES R CHINA,X,,,
SCIENCE CHINA-LIFE SCIENCES,SCI CHINA LIFE SCI,PEOPLES R CHINA,X,,,
SCIENCE CHINA-MATERIALS,SCI CHINA MATER,PEOPLES R CHINA,X,,,
SCIENCE CHINA-MATHEMATICS,SCI CHINA MATH,PEOPLES R CHINA,X,,,
SCIENCE CHINA-PHYSICS MECHANICS & ASTRONOMY,SCI CHINA PHYS MECH,PEOPLES R CHINA,X,,,
SCIENCE CHINA-TECHNOLOGICAL SCIENCES,SCI CHINA TECHNOL SC,PEOPLES R CHINA,X,,,
SCIENCE COMMUNICATION,SCI COMMUN,UNITED STATES,,X,,
SCIENCE DILIMAN,SCI DILIMAN,PHILIPPINES,,,,X
SCIENCE EDITING,SCI EDIT,SOUTH KOREA,,,,X
SCIENCE EDUCATION,SCI EDUC,UNITED STATES,,X,,
SCIENCE FICTION FILM AND TELEVISION,SCI FICT FILM TELEV,SCOTLAND,,,,X
SCIENCE IMMUNOLOGY,SCI IMMUNOL,UNITED STATES,X,,,
SCIENCE IN CONTEXT,SCI CONTEXT,UNITED STATES,X,X,X,
SCIENCE OF ADVANCED MATERIALS,SCI ADV MATER,UNITED STATES,X,,,
SCIENCE OF COMPUTER PROGRAMMING,SCI COMPUT PROGRAM,NETHERLANDS,X,,,
SCIENCE OF GYMNASTICS JOURNAL,SCI GYMNAST J,SLOVENIA,,,,X
SCIENCE OF NATURE,SCI NAT-HEIDELBERG,GERMANY,X,,,
SCIENCE OF SINTERING,SCI SINTER,SERBIA,X,,,
SCIENCE OF THE TOTAL ENVIRONMENT,SCI TOTAL ENVIRON,NETHERLANDS,X,,,
SCIENCE PROGRESS,SCI PROGRESS-UK,ENGLAND,X,,,
SCIENCE ROBOTICS,SCI ROBOT,UNITED STATES,X,,,
SCIENCE SIGNALING,SCI SIGNAL,UNITED STATES,X,,,
SCIENCE TECHNOLOGY & HUMAN VALUES,SCI TECHNOL HUM VAL,UNITED STATES,,X,,
SCIENCE TECHNOLOGY AND SOCIETY,SCI TECHNOL SOC,INDIA,,X,,
SCIENCE TRANSLATIONAL MEDICINE,SCI TRANSL MED,UNITED STATES,X,,,
SCIENCEASIA,SCIENCEASIA,THAILAND,X,,,
SCIENCE-FICTION STUDIES,SCI-FICTION STUD,UNITED STATES,,,X,
SCIENCES IN COLD AND ARID REGIONS,SCI COLD ARID REG,PEOPLES R CHINA,,,,X
SCIENCES SOCIALES ET SANTE,SCI SOC SANTE,FRANCE,,X,,
SCIENTIA AGRICOLA,SCI AGR,BRAZIL,X,,,
SCIENTIA AGROPECUARIA,SCI AGROPEC,PERU,,,,X
SCIENTIA ET FIDES,SCI FIDES,POLAND,,,,X
SCIENTIA FORESTALIS,SCI FOR,BRAZIL,X,,,
SCIENTIA HORTICULTURAE,SCI HORTIC-AMSTERDAM,NETHERLANDS,X,,,
SCIENTIA IRANICA,SCI IRAN,IRAN,X,,,
SCIENTIA MARINA,SCI MAR,SPAIN,X,,,
SCIENTIA MEDICA,SCI MED,BRAZIL,,,,X
SCIENTIA PHARMACEUTICA,SCI PHARM,AUSTRIA,,,,X
SCIENTIA SINICA-PHYSICA MECHANICA & ASTRONOMICA,SCI SIN-PHYS MECH AS,PEOPLES R CHINA,,,,X
SCIENTIFIC AMERICAN,SCI AM,UNITED STATES,X,,,
SCIENTIFIC AND TECHNICAL INFORMATION PROCESSING,SCI TECH INF PROCESS,RUSSIA,,,,X
SCIENTIFIC ANNALS OF COMPUTER SCIENCE,SCI ANN COMPUT SCI,ROMANIA,,,,X
SCIENTIFIC ANNALS OF ECONOMICS AND BUSINESS,SCI ANN ECON BUS,ROMANIA,,,,X
SCIENTIFIC CHRONICLES,SCI CHRON,GREECE,,,,X
SCIENTIFIC DATA,SCI DATA,ENGLAND,X,,,
SCIENTIFIC DRILLING,SCI DRILL,UNITED STATES,,,,X
SCIENTIFIC JOURNAL OF SILESIAN UNIVERSITY OF TECHNOLOGY-SERIES TRANSPORT,SCI J SIL UNIV TECH,POLAND,,,,X
SCIENTIFIC JOURNALS OF THE MARITIME UNIVERSITY OF SZCZECIN-ZESZYTY NAUKOWE AKADEMII MORSKIEJ W SZCZECINIE,SCI J MARIT UNIV SZC,POLAND,,,,X
SCIENTIFIC PAPERS-SERIES A-AGRONOMY,SCI PAP-SER A-AGRON,ROMANIA,,,,X
SCIENTIFIC PAPERS-SERIES B-HORTICULTURE,SCI PAP-SER B-HORTIC,ROMANIA,,,,X
SCIENTIFIC PAPERS-SERIES D-ANIMAL SCIENCE,SCI PAP-SER D-ANIM S,ROMANIA,,,,X
SCIENTIFIC PAPERS-SERIES E-LAND RECLAMATION EARTH OBSERVATION & SURVEYING ENVIRONMENTAL ENGINEERING,SCI PAP-SER-E-LAND R,ROMANIA,,,,X
SCIENTIFIC PAPERS-SERIES MANAGEMENT ECONOMIC ENGINEERING IN AGRICULTURE AND RURAL DEVELOPMENT,SCI PAP-SER MANAG EC,ROMANIA,,,,X
SCIENTIFIC PROGRAMMING,SCI PROGRAMMING-NETH,UNITED STATES,X,,,
SCIENTIFIC REPORTS,SCI REP-UK,ENGLAND,X,,,
SCIENTIFIC STUDIES OF READING,SCI STUD READ,UNITED STATES,,X,,
SCIENTIFIC STUDY AND RESEARCH-CHEMISTRY AND CHEMICAL ENGINEERING BIOTECHNOLOGY FOOD INDUSTRY,SCI STUDY RES-CHEM C,ROMANIA,,,,X
SCIENTIFICA,SCIENTIFICA,UNITED STATES,,,,X
SCIENTIST,SCIENTIST,UNITED STATES,X,X,,
SCIENTOMETRICS,SCIENTOMETRICS,NETHERLANDS,X,X,,
SCIENZA & POLITICA-PER UNA STORIA DELLE DOTTRINE,SCI POLITICA,ITALY,,,,X
SCIPOST PHYSICS,SCIPOST PHYS,NETHERLANDS,X,,,
SCIRE-REPRESENTACION Y ORGANIZACION DEL CONOCIMIENTO,SCIRE,SPAIN,,,,X
SCIRES-IT-SCIENTIFIC RESEARCH AND INFORMATION TECHNOLOGY,SCIRES-IT,ITALY,,,,X
SCM STUDIES IN COMMUNICATION AND MEDIA,SCM STUD COMM MEDIA,GERMANY,,,,X
SCOTTISH AFFAIRS,SCOTT AFF,SCOTLAND,,,,X
SCOTTISH ARCHAEOLOGICAL JOURNAL,SCOTT ARCHAEOL J,ENGLAND,,,,X
SCOTTISH GEOGRAPHICAL JOURNAL,SCOT GEOGR J,SCOTLAND,,X,,
SCOTTISH HISTORICAL REVIEW,SCOT HIST REV,SCOTLAND,,X,X,
SCOTTISH JOURNAL OF GEOLOGY,SCOT J GEOL,ENGLAND,X,,,
SCOTTISH JOURNAL OF POLITICAL ECONOMY,SCOT J POLIT ECON,ENGLAND,,X,,
SCOTTISH JOURNAL OF THEOLOGY,SCOT J THEOLOGY,SCOTLAND,,,X,
SCOTTISH LITERARY REVIEW,SCOTT LIT REV,SCOTLAND,,,X,
SCOTTISH MEDICAL JOURNAL,SCOT MED J,SCOTLAND,X,,,
SCREEN,SCREEN,ENGLAND,,,X,
SCRIBLERIAN AND THE KIT-CATS,SCRIBLERIAN KIT-CATS,UNITED STATES,,,X,
SCRIPTA MATERIALIA,SCRIPTA MATER,UNITED STATES,X,,,
SCRIPTA NOVA-REVISTA ELECTRONICA DE GEOGRAFIA Y CIENCIAS SOCIALES,SCRIPTA NOVA,SPAIN,,X,,
SCRIPTA THEOLOGICA,SCR THEOL,SPAIN,,,,X
SCRIPTA-REVISTA INTERNACIONAL DE LITERATURA I CULTURA MEDIEVAL I MODERNA-INTERNATIONAL JOURNAL OF MEDIEVAL & MODERN LITERATURE & CULTURE,SCRIPTA,SPAIN,,,,X
SCRIPTORIUM,SCRIPTORIUM,BELGIUM,,,X,
SCRIPTURA-INTERNATIONAL JOURNAL OF BIBLE RELIGION AND THEOLOGY IN SOUTHERN AFRICA,SCRIPTURA,SOUTH AFRICA,,,,X
SCRUTINY2-ISSUES IN ENGLISH STUDIES IN SOUTHERN AFRICA,SCRUTINY2,SOUTH AFRICA,,,,X
SCULPTURE JOURNAL,SCULPT J,ENGLAND,,,X,
SCULPTURE REVIEW,SCULPT REV,UNITED STATES,,,X,
SEA TECHNOLOGY,SEA TECHNOL,UNITED STATES,X,,,
SEARCH-JOURNAL OF THE SOUTHEAST ASIA RESEARCH CENTRE FOR COMMUNICATIONS AND HUMANITIES,SEARCH-J SOUTHEAST A,MALAYSIA,,,,X
SECOND LANGUAGE RESEARCH,SECOND LANG RES,ENGLAND,,X,,
SECULARISM & NONRELIGION,SECUL NONRELIGION,ENGLAND,,,,X
SECURITIES REGULATION LAW JOURNAL,SECUR REGUL LAW J,UNITED STATES,,X,,
SECURITY AND COMMUNICATION NETWORKS,SECUR COMMUN NETW,ENGLAND,X,,,
SECURITY CHALLENGES,SECUR CHALL,AUSTRALIA,,,,X
SECURITY DIALOGUE,SECUR DIALOGUE,NORWAY,,X,,
SECURITY JOURNAL,SECUR J,ENGLAND,,X,,
SECURITY STUDIES,SECUR STUD,ENGLAND,,X,,
SEDERI-YEARBOOK OF THE SPANISH AND PORTUGUESE SOCIETY FOR ENGLISH RENAISSANCE STUDIES,SEDERI,SPAIN,,,X,
SEDIMENTARY GEOLOGY,SEDIMENT GEOL,NETHERLANDS,X,,,
SEDIMENTOLOGY,SEDIMENTOLOGY,ENGLAND,X,,,
SEED SCIENCE AND TECHNOLOGY,SEED SCI TECHNOL,NETHERLANDS,X,,,
SEED SCIENCE RESEARCH,SEED SCI RES,ENGLAND,X,,,
SEEFOR-SOUTH-EAST EUROPEAN FORESTRY,SEEFOR-SOUTH-EAST EU,CROATIA,,,,X
SEFARAD,SEFARAD,SPAIN,,,X,
SEISMIC INSTRUMENTS,SEISM INSTRUM,RUSSIA,,,,X
SEISMOLOGICAL RESEARCH LETTERS,SEISMOL RES LETT,UNITED STATES,X,,,
SEIZIEME SIECLE,SEIZ SIECLE,FRANCE,,,X,
SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,SEIZURE-EUR J EPILEP,ENGLAND,X,,,
SELCUK UNIVERSITESI EDEBIYAT FAKULTESI DERGISI-SELCUK UNIVERSITY JOURNAL OF FACULTY OF LETTERS,SELCUK UNIV EDEB FAK,TURKEY,,,,X
SELECTA MATHEMATICA-NEW SERIES,SEL MATH-NEW SER,SWITZERLAND,X,,,
SELF AND IDENTITY,SELF IDENTITY,UNITED STATES,,X,,
SEMANTIC WEB,SEMANT WEB,NETHERLANDS,X,,,
SEMANTICS & PRAGMATICS,SEMANT PRAGMAT,UNITED STATES,,,,X
SEMICONDUCTOR PHYSICS QUANTUM ELECTRONICS & OPTOELECTRONICS,SEMICOND PHYS QUANT,UKRAINE,,,,X
SEMICONDUCTOR SCIENCE AND TECHNOLOGY,SEMICOND SCI TECH,ENGLAND,X,,,
SEMICONDUCTORS,SEMICONDUCTORS+,RUSSIA,X,,,
SEMICONDUCTORS AND SEMIMETALS,SEMICONDUCT SEMIMET,UNITED STATES,X,,,
SEMIGROUP FORUM,SEMIGROUP FORUM,GERMANY,X,,,
SEMINA-CIENCIAS AGRARIAS,SEMIN-CIENC AGRAR,BRAZIL,X,,,
SEMINAR-A JOURNAL OF GERMANIC STUDIES,SEMINAR-J GER STUD,CANADA,,,X,
SEMINARS IN ARTHRITIS AND RHEUMATISM,SEMIN ARTHRITIS RHEU,UNITED STATES,X,,,
SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,ENGLAND,X,,,
SEMINARS IN CARDIOTHORACIC AND VASCULAR ANESTHESIA,SEMIN CARDIOTHORAC V,UNITED STATES,,,,X
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,ENGLAND,X,,,
SEMINARS IN COLON AND RECTAL SURGERY,SEMIN COLON RECTAL S,UNITED STATES,,,,X
SEMINARS IN DIAGNOSTIC PATHOLOGY,SEMIN DIAGN PATHOL,UNITED STATES,X,,,
SEMINARS IN DIALYSIS,SEMIN DIALYSIS,UNITED STATES,X,,,
SEMINARS IN FETAL & NEONATAL MEDICINE,SEMIN FETAL NEONAT M,ENGLAND,X,,,
SEMINARS IN HEMATOLOGY,SEMIN HEMATOL,UNITED STATES,X,,,
SEMINARS IN IMMUNOLOGY,SEMIN IMMUNOL,ENGLAND,X,,,
SEMINARS IN IMMUNOPATHOLOGY,SEMIN IMMUNOPATHOL,GERMANY,X,,,
SEMINARS IN INTERVENTIONAL RADIOLOGY,SEMIN INTERVENT RAD,UNITED STATES,X,,,
SEMINARS IN LIVER DISEASE,SEMIN LIVER DIS,UNITED STATES,X,,,
SEMINARS IN MUSCULOSKELETAL RADIOLOGY,SEMIN MUSCULOSKEL R,UNITED STATES,X,,,
SEMINARS IN NEPHROLOGY,SEMIN NEPHROL,UNITED STATES,X,,,
SEMINARS IN NEUROLOGY,SEMIN NEUROL,UNITED STATES,X,,,
SEMINARS IN NUCLEAR MEDICINE,SEMIN NUCL MED,UNITED STATES,X,,,
SEMINARS IN ONCOLOGY,SEMIN ONCOL,UNITED STATES,X,,,
SEMINARS IN ONCOLOGY NURSING,SEMIN ONCOL NURS,UNITED STATES,X,X,,
SEMINARS IN OPHTHALMOLOGY,SEMIN OPHTHALMOL,UNITED STATES,X,,,
SEMINARS IN ORTHODONTICS,SEMIN ORTHOD,UNITED STATES,X,,,
SEMINARS IN PEDIATRIC NEUROLOGY,SEMIN PEDIATR NEUROL,UNITED STATES,X,,,
SEMINARS IN PEDIATRIC SURGERY,SEMIN PEDIATR SURG,UNITED STATES,X,,,
SEMINARS IN PERINATOLOGY,SEMIN PERINATOL,UNITED STATES,X,,,
SEMINARS IN PLASTIC SURGERY,SEMIN PLAST SURG,UNITED STATES,X,,,
SEMINARS IN RADIATION ONCOLOGY,SEMIN RADIAT ONCOL,UNITED STATES,X,,,
SEMINARS IN REPRODUCTIVE MEDICINE,SEMIN REPROD MED,UNITED STATES,X,,,
SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,SEMIN RESP CRIT CARE,UNITED STATES,X,,,
SEMINARS IN ROENTGENOLOGY,SEMIN ROENTGENOL,UNITED STATES,X,,,
SEMINARS IN SPEECH AND LANGUAGE,SEMIN SPEECH LANG,UNITED STATES,X,,,
SEMINARS IN THORACIC AND CARDIOVASCULAR SURGERY,SEMIN THORAC CARDIOV,UNITED STATES,X,,,
SEMINARS IN THROMBOSIS AND HEMOSTASIS,SEMIN THROMB HEMOST,UNITED STATES,X,,,
SEMINARS IN ULTRASOUND CT AND MRI,SEMIN ULTRASOUND CT,UNITED STATES,X,,,
SEMINARS IN VASCULAR SURGERY,SEMIN VASC SURG,UNITED STATES,X,,,
SEMIOTICA,SEMIOTICA,NETHERLANDS,,X,X,
SENDEBAR-REVISTA DE TRADUCCION E INTERPRETACION,SENDEBAR,SPAIN,,,,X
SEN-I GAKKAISHI,SEN-I GAKKAISHI,JAPAN,X,,,
SENIOR CARE PHARMACIST,SR CARE PHARM,UNITED STATES,,,,X
SENSES & SOCIETY,SENSES SOC,ENGLAND,,,X,
SENSING AND IMAGING,SENS IMAGING,UNITED STATES,,,,X
SENSOR REVIEW,SENSOR REV,ENGLAND,X,,,
SENSORS,SENSORS-BASEL,SWITZERLAND,X,,,
SENSORS AND ACTUATORS A-PHYSICAL,SENSOR ACTUAT A-PHYS,SWITZERLAND,X,,,
SENSORS AND ACTUATORS B-CHEMICAL,SENSOR ACTUAT B-CHEM,SWITZERLAND,X,,,
SENSORS AND MATERIALS,SENSOR MATER,JAPAN,X,,,
SEOUL JOURNAL OF ECONOMICS,SEOUL J ECON,SOUTH KOREA,,,,X
SEOUL JOURNAL OF KOREAN STUDIES,SEOUL J KOREAN STUD,SOUTH KOREA,,,,X
SEPARATION AND PURIFICATION REVIEWS,SEP PURIF REV,UNITED STATES,X,,,
SEPARATION AND PURIFICATION TECHNOLOGY,SEP PURIF TECHNOL,NETHERLANDS,X,,,
SEPARATION SCIENCE AND TECHNOLOGY,SEP SCI TECHNOL,UNITED STATES,X,,,
SEPARATION SCIENCE PLUS,SEP SCI PLUS,ENGLAND,,,,X
SEPARATIONS,SEPARATIONS,SWITZERLAND,X,,,
SEQUENTIAL ANALYSIS-DESIGN METHODS AND APPLICATIONS,SEQUENTIAL ANAL,UNITED STATES,X,,,
SERBIAN ASTRONOMICAL JOURNAL,SERB ASTRON J,SERBIA,X,,,
SERBIAN JOURNAL OF MANAGEMENT,SERB J MANAG,SERBIA,,,,X
SERIALS REVIEW,SERIALS REV,ENGLAND,,X,,
SERIES-JOURNAL OF THE SPANISH ECONOMIC ASSOCIATION,SERIES-J SPAN ECON,GERMANY,,X,,
SERVICE BUSINESS,SERV BUS,GERMANY,,X,,
SERVICE INDUSTRIES JOURNAL,SERV IND J,ENGLAND,,X,,
SERVICE ORIENTED COMPUTING AND APPLICATIONS,SERV ORIENTED COMPUT,ENGLAND,,,,X
SERVICE SCIENCE,SERV SCI,UNITED STATES,,X,,
SETTLER COLONIAL STUDIES,SETTL COLON STUD,AUSTRALIA,,,,X
SET-VALUED AND VARIATIONAL ANALYSIS,SET-VALUED VAR ANAL,NETHERLANDS,X,,,
SEVENTEENTH CENTURY,SEVENTEENTH CENT,ENGLAND,,,X,
SEWANEE REVIEW,SEWANEE REV,UNITED STATES,,,X,
SEX EDUCATION-SEXUALITY SOCIETY AND LEARNING,SEX EDUC-SEX SOC LEA,ENGLAND,,X,,
SEX ROLES,SEX ROLES,UNITED STATES,,X,,
SEXOLOGIES,SEXOLOGIES,FRANCE,,,,X
SEXUAL & REPRODUCTIVE HEALTHCARE,SEX REPROD HEALTHC,SWEDEN,,X,,
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,SEX ABUSE-J RES TR,NETHERLANDS,,X,,
SEXUAL ADDICTION & COMPULSIVITY-THE JOURNAL OF TREATMENT AND PREVENTION,SEX ADDICT COMPULS,UNITED STATES,,,,X
SEXUAL AND RELATIONSHIP THERAPY,SEX RELATSH THER,ENGLAND,,X,,
SEXUAL AND REPRODUCTIVE HEALTH MATTERS,SEX REPROD HLTH MATT,ENGLAND,,X,,
SEXUAL DEVELOPMENT,SEX DEV,SWITZERLAND,X,,,
SEXUAL HEALTH,SEX HEALTH,AUSTRALIA,X,X,,
SEXUAL MEDICINE,SEX MED-UK,ENGLAND,X,,,
SEXUAL MEDICINE REVIEWS,SEX MED REV,ENGLAND,X,,,
SEXUALITIES,SEXUALITIES,ENGLAND,,X,,
SEXUALITY & CULTURE-AN INTERDISCIPLINARY JOURNAL,SEX CULT,UNITED STATES,,,,X
SEXUALITY AND DISABILITY,SEX DISABIL,UNITED STATES,,X,,
SEXUALITY RESEARCH AND SOCIAL POLICY,SEX RES SOC POLICY,UNITED STATES,,X,,
SEXUALLY TRANSMITTED DISEASES,SEX TRANSM DIS,UNITED STATES,X,,,
SEXUALLY TRANSMITTED INFECTIONS,SEX TRANSM INFECT,ENGLAND,X,,,
SGUARDO-RIVISTA DI FILOSOFIA,SGUARDO,ITALY,,,,X
SHAKESPEARE,SHAKESPEARE,ENGLAND,,,X,
SHAPE MEMORY AND SUPERELASTICITY,SHAPE MEM SUPERELAST,SWITZERLAND,,,,X
SHAW-THE JOURNAL OF BERNARD SHAW STUDIES,SHAW-J BERNARD SHAW,UNITED STATES,,,X,
SHENANDOAH,SHENANDOAH,UNITED STATES,,,X,
SHILAP-REVISTA DE LEPIDOPTEROLOGIA,SHILAP-REV LEPIDOPT,SPAIN,X,,,
SHIMA-THE INTERNATIONAL JOURNAL OF RESEARCH INTO ISLAND CULTURES,SHIMA,AUSTRALIA,,,,X
SHIP TECHNOLOGY RESEARCH,SHIP TECHNOL RES,GERMANY,,,,X
SHIPS AND OFFSHORE STRUCTURES,SHIPS OFFSHORE STRUC,ENGLAND,X,,,
SHOCK,SHOCK,UNITED STATES,X,,,
SHOCK AND VIBRATION,SHOCK VIB,UNITED STATES,X,,,
SHOCK WAVES,SHOCK WAVES,GERMANY,X,,,
SHOFAR-AN INTERDISCIPLINARY JOURNAL OF JEWISH STUDIES,SHOFAR,UNITED STATES,,,X,
SHORT FILM STUDIES,SHORT FILM STUD,ENGLAND,,,,X
SI GECOM EXCHANGES,SI GECOM EXCH,UNITED STATES,,,,X
SI SOMOS AMERICANOS-REVISTA DE ESTUDIOS TRANSFRONTERIZOS,SI SOMOS AM,CHILE,,,,X
SIAM JOURNAL ON APPLIED ALGEBRA AND GEOMETRY,SIAM J APPL ALGEBR G,UNITED STATES,X,,,
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,SIAM J APPL DYN SYST,UNITED STATES,X,,,
SIAM JOURNAL ON APPLIED MATHEMATICS,SIAM J APPL MATH,UNITED STATES,X,,,
SIAM JOURNAL ON COMPUTING,SIAM J COMPUT,UNITED STATES,X,,,
SIAM JOURNAL ON CONTROL AND OPTIMIZATION,SIAM J CONTROL OPTIM,UNITED STATES,X,,,
